,cat,pid,tid,latency_us,ts,ph,node,operator,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
83,Node,11178,11178,0,468649,X,Reshape_gme_61_fence_before,Reshape,,,,,,,,
84,Node,11178,11178,19,468650,X,Reshape_gme_61,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 22, 'core': 40}, '139996788307712': {'num_run': 22, 'core': 32}, '139996645697280': {'num_run': 22, 'core': 21}, '139996779915008': {'num_run': 22, 'core': 45}, '139996771522304': {'num_run': 22, 'core': 15}, '139996763129600': {'num_run': 22, 'core': 11}, '139996754736896': {'num_run': 22, 'core': 35}}}","[{'float': [1, 32, 100, 74, 8]}, {'int64': [4]}]",32,7577600,143,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
85,Node,11178,11178,0,468674,X,Reshape_gme_61_fence_after,Reshape,,,,,,,,
86,Node,11178,11178,0,468676,X,Relu_12_fence_before,Relu,,,,,,,,
87,Node,11178,11178,126,468677,X,Relu_12,Relu,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [59200], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 50, 'Wait': 50, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 23, 'core': 40}, '139996788307712': {'num_run': 23, 'core': 32}, '139996645697280': {'num_run': 23, 'core': 21}, '139996779915008': {'num_run': 23, 'core': 45}, '139996771522304': {'num_run': 23, 'core': 15}, '139996763129600': {'num_run': 23, 'core': 11}, '139996754736896': {'num_run': 23, 'core': 35}}}","[{'float': [1, 256, 100, 74]}]",0,7577600,52,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
88,Node,11178,11178,0,468806,X,Relu_12_fence_after,Relu,,,,,,,,
89,Node,11178,11178,0,468809,X,FusedConv_nchwc_gme_65_fence_before,Conv,,,,,,,,
90,Node,11178,11178,16675,468810,X,FusedConv_nchwc_gme_65,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 16524, 'Wait': 111, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 24, 'core': 40}, '139996788307712': {'num_run': 24, 'core': 32}, '139996645697280': {'num_run': 24, 'core': 21}, '139996779915008': {'num_run': 24, 'core': 45}, '139996771522304': {'num_run': 24, 'core': 15}, '139996763129600': {'num_run': 24, 'core': 11}, '139996754736896': {'num_run': 24, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'float': [256, 256, 3, 3]}, {'float': [256]}]",2360320,7577600,144,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
91,Node,11178,11178,0,485492,X,FusedConv_nchwc_gme_65_fence_after,Conv,,,,,,,,
92,Node,11178,11178,0,485495,X,Conv_nchwc_gme_68_fence_before,Conv,,,,,,,,
93,Node,11178,11178,18096,485496,X,Conv_nchwc_gme_68,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 3, 'DistributionEnqueue': 1, 'Run': 16551, 'Wait': 202, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 25, 'core': 40}, '139996788307712': {'num_run': 25, 'core': 32}, '139996645697280': {'num_run': 25, 'core': 21}, '139996779915008': {'num_run': 25, 'core': 45}, '139996771522304': {'num_run': 25, 'core': 15}, '139996763129600': {'num_run': 25, 'core': 11}, '139996754736896': {'num_run': 25, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'float': [256, 256, 3, 3]}, {'float': [256]}, {'float': [1, 256, 100, 74]}]",2360320,15155200,145,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
94,Node,11178,11178,0,503602,X,Conv_nchwc_gme_68_fence_after,Conv,,,,,,,,
95,Node,11178,11178,0,503612,X,FusedConv_nchwc_gme_76_fence_before,Conv,,,,,,,,
96,Node,11178,11178,9000,503614,X,FusedConv_nchwc_gme_76,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 8717, 'Wait': 219, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 26, 'core': 40}, '139996788307712': {'num_run': 26, 'core': 32}, '139996645697280': {'num_run': 26, 'core': 21}, '139996779915008': {'num_run': 26, 'core': 45}, '139996771522304': {'num_run': 26, 'core': 15}, '139996763129600': {'num_run': 26, 'core': 11}, '139996754736896': {'num_run': 26, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'float': [512, 256, 3, 3]}, {'float': [512]}]",4720640,7577600,148,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
97,Node,11178,11178,0,512621,X,FusedConv_nchwc_gme_76_fence_after,Conv,,,,,,,,
98,Node,11178,11178,0,512627,X,Conv_nchwc_gme_79_fence_before,Conv,,,,,,,,
99,Node,11178,11178,17046,512628,X,Conv_nchwc_gme_79,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 16960, 'Wait': 28, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 27, 'core': 40}, '139996788307712': {'num_run': 27, 'core': 32}, '139996645697280': {'num_run': 27, 'core': 21}, '139996779915008': {'num_run': 27, 'core': 45}, '139996771522304': {'num_run': 27, 'core': 15}, '139996763129600': {'num_run': 27, 'core': 11}, '139996754736896': {'num_run': 27, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'float': [512, 512, 3, 3]}, {'float': [512]}]",9439232,3788800,149,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
100,Node,11178,11178,0,529681,X,Conv_nchwc_gme_79_fence_after,Conv,,,,,,,,
101,Node,11178,11178,1,529690,X,Reshape_gme_84_fence_before,Reshape,,,,,,,,
102,Node,11178,11178,25,529693,X,Reshape_gme_84,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 27, 'core': 40}, '139996788307712': {'num_run': 27, 'core': 32}, '139996645697280': {'num_run': 27, 'core': 21}, '139996779915008': {'num_run': 27, 'core': 45}, '139996771522304': {'num_run': 27, 'core': 15}, '139996763129600': {'num_run': 27, 'core': 11}, '139996754736896': {'num_run': 27, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'int64': [5]}]",40,3788800,151,3788800,CPUExecutionProvider,"[{'float': [1, 64, 50, 37, 8]}]"
103,Node,11178,11178,0,529721,X,Reshape_gme_84_fence_after,Reshape,,,,,,,,
104,Node,11178,11178,0,529723,X,AveragePool_nchwc_gme_70_fence_before,AveragePool,,,,,,,,
105,Node,11178,11178,166,529724,X,AveragePool_nchwc_gme_70,AveragePool,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 116, 'Wait': 11, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 28, 'core': 40}, '139996788307712': {'num_run': 28, 'core': 32}, '139996645697280': {'num_run': 28, 'core': 21}, '139996779915008': {'num_run': 28, 'core': 45}, '139996771522304': {'num_run': 28, 'core': 15}, '139996763129600': {'num_run': 28, 'core': 11}, '139996754736896': {'num_run': 28, 'core': 35}}}","[{'float': [1, 256, 100, 74]}]",0,7577600,146,1894400,CPUExecutionProvider,"[{'float': [1, 256, 50, 37]}]"
106,Node,11178,11178,0,529897,X,AveragePool_nchwc_gme_70_fence_after,AveragePool,,,,,,,,
107,Node,11178,11178,0,529900,X,Conv_nchwc_gme_73_fence_before,Conv,,,,,,,,
108,Node,11178,11178,1350,529901,X,Conv_nchwc_gme_73,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 1279, 'Wait': 1, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 29, 'core': 40}, '139996788307712': {'num_run': 29, 'core': 32}, '139996645697280': {'num_run': 29, 'core': 21}, '139996779915008': {'num_run': 29, 'core': 45}, '139996771522304': {'num_run': 29, 'core': 15}, '139996763129600': {'num_run': 29, 'core': 11}, '139996754736896': {'num_run': 29, 'core': 35}}}","[{'float': [1, 256, 50, 37]}, {'float': [512, 256, 1, 1]}, {'float': [512]}]",526336,1894400,147,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
109,Node,11178,11178,0,531258,X,Conv_nchwc_gme_73_fence_after,Conv,,,,,,,,
110,Node,11178,11178,0,531263,X,Reshape_gme_82_fence_before,Reshape,,,,,,,,
111,Node,11178,11178,23,531264,X,Reshape_gme_82,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 29, 'core': 40}, '139996788307712': {'num_run': 29, 'core': 32}, '139996645697280': {'num_run': 29, 'core': 21}, '139996779915008': {'num_run': 29, 'core': 45}, '139996771522304': {'num_run': 29, 'core': 15}, '139996763129600': {'num_run': 29, 'core': 11}, '139996754736896': {'num_run': 29, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'int64': [5]}]",40,3788800,150,3788800,CPUExecutionProvider,"[{'float': [1, 64, 50, 37, 8]}]"
112,Node,11178,11178,0,531291,X,Reshape_gme_82_fence_after,Reshape,,,,,,,,
113,Node,11178,11178,0,531293,X,Add_6_fence_before,Add,,,,,,,,
114,Node,11178,11178,82,531294,X,Add_6,Add,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [29600], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 43, 'Wait': 7, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 30, 'core': 40}, '139996788307712': {'num_run': 30, 'core': 32}, '139996645697280': {'num_run': 30, 'core': 21}, '139996779915008': {'num_run': 30, 'core': 45}, '139996771522304': {'num_run': 30, 'core': 15}, '139996763129600': {'num_run': 30, 'core': 11}, '139996754736896': {'num_run': 30, 'core': 35}}}","[{'float': [1, 64, 50, 37, 8]}, {'float': [1, 64, 50, 37, 8]}]",0,7577600,68,3788800,CPUExecutionProvider,"[{'float': [1, 64, 50, 37, 8]}]"
115,Node,11178,11178,0,531379,X,Add_6_fence_after,Add,,,,,,,,
116,Node,11178,11178,0,531383,X,Reshape_gme_86_fence_before,Reshape,,,,,,,,
117,Node,11178,11178,21,531384,X,Reshape_gme_86,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 30, 'core': 40}, '139996788307712': {'num_run': 30, 'core': 32}, '139996645697280': {'num_run': 30, 'core': 21}, '139996779915008': {'num_run': 30, 'core': 45}, '139996771522304': {'num_run': 30, 'core': 15}, '139996763129600': {'num_run': 30, 'core': 11}, '139996754736896': {'num_run': 30, 'core': 35}}}","[{'float': [1, 64, 50, 37, 8]}, {'int64': [4]}]",32,3788800,152,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
118,Node,11178,11178,0,531408,X,Reshape_gme_86_fence_after,Reshape,,,,,,,,
119,Node,11178,11178,0,531411,X,Relu_16_fence_before,Relu,,,,,,,,
120,Node,11178,11178,74,531412,X,Relu_16,Relu,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [29600], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 48, 'Wait': 1, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 31, 'core': 40}, '139996788307712': {'num_run': 31, 'core': 32}, '139996645697280': {'num_run': 31, 'core': 21}, '139996779915008': {'num_run': 31, 'core': 45}, '139996771522304': {'num_run': 31, 'core': 15}, '139996763129600': {'num_run': 31, 'core': 11}, '139996754736896': {'num_run': 31, 'core': 35}}}","[{'float': [1, 512, 50, 37]}]",0,3788800,69,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
121,Node,11178,11178,0,531490,X,Relu_16_fence_after,Relu,,,,,,,,
122,Node,11178,11178,0,531492,X,FusedConv_nchwc_gme_90_fence_before,Conv,,,,,,,,
123,Node,11178,11178,17205,531494,X,FusedConv_nchwc_gme_90,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 17122, 'Wait': 38, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 32, 'core': 40}, '139996788307712': {'num_run': 32, 'core': 32}, '139996645697280': {'num_run': 32, 'core': 21}, '139996779915008': {'num_run': 32, 'core': 45}, '139996771522304': {'num_run': 32, 'core': 15}, '139996763129600': {'num_run': 32, 'core': 11}, '139996754736896': {'num_run': 32, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'float': [512, 512, 3, 3]}, {'float': [512]}]",9439232,3788800,153,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
124,Node,11178,11178,0,548705,X,FusedConv_nchwc_gme_90_fence_after,Conv,,,,,,,,
125,Node,11178,11178,0,548709,X,Conv_nchwc_gme_93_fence_before,Conv,,,,,,,,
126,Node,11178,11178,17765,548711,X,Conv_nchwc_gme_93,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 16957, 'Wait': 24, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 33, 'core': 40}, '139996788307712': {'num_run': 33, 'core': 32}, '139996645697280': {'num_run': 33, 'core': 21}, '139996779915008': {'num_run': 33, 'core': 45}, '139996771522304': {'num_run': 33, 'core': 15}, '139996763129600': {'num_run': 33, 'core': 11}, '139996754736896': {'num_run': 33, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'float': [512, 512, 3, 3]}, {'float': [512]}, {'float': [1, 512, 50, 37]}]",9439232,7577600,154,3788800,CPUExecutionProvider,"[{'float': [1, 512, 50, 37]}]"
127,Node,11178,11178,0,566483,X,Conv_nchwc_gme_93_fence_after,Conv,,,,,,,,
128,Node,11178,11178,0,566491,X,Conv_nchwc_gme_96_fence_before,Conv,,,,,,,,
129,Node,11178,11178,1451,566516,X,Conv_nchwc_gme_96,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 1242, 'Wait': 165, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 34, 'core': 40}, '139996788307712': {'num_run': 34, 'core': 32}, '139996645697280': {'num_run': 34, 'core': 21}, '139996779915008': {'num_run': 34, 'core': 45}, '139996771522304': {'num_run': 34, 'core': 15}, '139996763129600': {'num_run': 34, 'core': 11}, '139996754736896': {'num_run': 34, 'core': 35}}}","[{'float': [1, 512, 50, 37]}, {'float': [256, 512, 1, 1]}]",524288,3788800,155,1894400,CPUExecutionProvider,"[{'float': [1, 256, 50, 37]}]"
130,Node,11178,11178,0,567974,X,Conv_nchwc_gme_96_fence_after,Conv,,,,,,,,
131,Node,11178,11178,0,567979,X,Resize_nchwc_fence_before,Upsample,,,,,,,,
132,Node,11178,11178,1782,567981,X,Resize_nchwc,Upsample,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 34, 'core': 40}, '139996788307712': {'num_run': 34, 'core': 32}, '139996645697280': {'num_run': 34, 'core': 21}, '139996779915008': {'num_run': 34, 'core': 45}, '139996771522304': {'num_run': 34, 'core': 15}, '139996763129600': {'num_run': 34, 'core': 11}, '139996754736896': {'num_run': 34, 'core': 35}}}","[{'float': [1, 256, 50, 37]}]",0,1894400,156,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
133,Node,11178,11178,0,569770,X,Resize_nchwc_fence_after,Upsample,,,,,,,,
134,Node,11178,11178,0,569775,X,Reshape_gme_105_fence_before,Reshape,,,,,,,,
135,Node,11178,11178,23,569776,X,Reshape_gme_105,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 34, 'core': 40}, '139996788307712': {'num_run': 34, 'core': 32}, '139996645697280': {'num_run': 34, 'core': 21}, '139996779915008': {'num_run': 34, 'core': 45}, '139996771522304': {'num_run': 34, 'core': 15}, '139996763129600': {'num_run': 34, 'core': 11}, '139996754736896': {'num_run': 34, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'int64': [5]}]",40,7577600,159,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
136,Node,11178,11178,0,569803,X,Reshape_gme_105_fence_after,Reshape,,,,,,,,
137,Node,11178,11178,0,569805,X,Conv_nchwc_gme_100_fence_before,Conv,,,,,,,,
138,Node,11178,11178,2561,569806,X,Conv_nchwc_gme_100,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 2353, 'Wait': 164, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 35, 'core': 40}, '139996788307712': {'num_run': 35, 'core': 32}, '139996645697280': {'num_run': 35, 'core': 21}, '139996779915008': {'num_run': 35, 'core': 45}, '139996771522304': {'num_run': 35, 'core': 15}, '139996763129600': {'num_run': 35, 'core': 11}, '139996754736896': {'num_run': 35, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'float': [256, 256, 1, 1]}]",262144,7577600,157,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
139,Node,11178,11178,0,572373,X,Conv_nchwc_gme_100_fence_after,Conv,,,,,,,,
140,Node,11178,11178,0,572379,X,Reshape_gme_103_fence_before,Reshape,,,,,,,,
141,Node,11178,11178,21,572381,X,Reshape_gme_103,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 35, 'core': 40}, '139996788307712': {'num_run': 35, 'core': 32}, '139996645697280': {'num_run': 35, 'core': 21}, '139996779915008': {'num_run': 35, 'core': 45}, '139996771522304': {'num_run': 35, 'core': 15}, '139996763129600': {'num_run': 35, 'core': 11}, '139996754736896': {'num_run': 35, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'int64': [5]}]",40,7577600,158,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
142,Node,11178,11178,0,572405,X,Reshape_gme_103_fence_after,Reshape,,,,,,,,
143,Node,11178,11178,0,572407,X,Add_8_fence_before,Add,,,,,,,,
144,Node,11178,11178,347,572408,X,Add_8,Add,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [59200], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 276, 'Wait': 35, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 36, 'core': 40}, '139996788307712': {'num_run': 36, 'core': 32}, '139996645697280': {'num_run': 36, 'core': 21}, '139996779915008': {'num_run': 36, 'core': 45}, '139996771522304': {'num_run': 36, 'core': 15}, '139996763129600': {'num_run': 36, 'core': 11}, '139996754736896': {'num_run': 36, 'core': 35}}}","[{'float': [1, 32, 100, 74, 8]}, {'float': [1, 32, 100, 74, 8]}]",0,15155200,82,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
145,Node,11178,11178,0,572759,X,Add_8_fence_after,Add,,,,,,,,
146,Node,11178,11178,0,572762,X,Reshape_gme_107_fence_before,Reshape,,,,,,,,
147,Node,11178,11178,21,572764,X,Reshape_gme_107,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 36, 'core': 40}, '139996788307712': {'num_run': 36, 'core': 32}, '139996645697280': {'num_run': 36, 'core': 21}, '139996779915008': {'num_run': 36, 'core': 45}, '139996771522304': {'num_run': 36, 'core': 15}, '139996763129600': {'num_run': 36, 'core': 11}, '139996754736896': {'num_run': 36, 'core': 35}}}","[{'float': [1, 32, 100, 74, 8]}, {'int64': [4]}]",32,7577600,160,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
148,Node,11178,11178,0,572788,X,Reshape_gme_107_fence_after,Reshape,,,,,,,,
149,Node,11178,11178,0,572790,X,Resize_nchwc_gme_109_fence_before,Upsample,,,,,,,,
150,Node,11178,11178,14306,572791,X,Resize_nchwc_gme_109,Upsample,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 36, 'core': 40}, '139996788307712': {'num_run': 36, 'core': 32}, '139996645697280': {'num_run': 36, 'core': 21}, '139996779915008': {'num_run': 36, 'core': 45}, '139996771522304': {'num_run': 36, 'core': 15}, '139996763129600': {'num_run': 36, 'core': 11}, '139996754736896': {'num_run': 36, 'core': 35}}}","[{'float': [1, 256, 100, 74]}]",0,7577600,161,30310400,CPUExecutionProvider,"[{'float': [1, 256, 200, 148]}]"
151,Node,11178,11178,0,587106,X,Resize_nchwc_gme_109_fence_after,Upsample,,,,,,,,
152,Node,11178,11178,0,587114,X,Reshape_gme_117_fence_before,Reshape,,,,,,,,
153,Node,11178,11178,25,587116,X,Reshape_gme_117,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 36, 'core': 40}, '139996788307712': {'num_run': 36, 'core': 32}, '139996645697280': {'num_run': 36, 'core': 21}, '139996779915008': {'num_run': 36, 'core': 45}, '139996771522304': {'num_run': 36, 'core': 15}, '139996763129600': {'num_run': 36, 'core': 11}, '139996754736896': {'num_run': 36, 'core': 35}}}","[{'float': [1, 256, 200, 148]}, {'int64': [5]}]",40,30310400,164,30310400,CPUExecutionProvider,"[{'float': [1, 32, 200, 148, 8]}]"
154,Node,11178,11178,0,587144,X,Reshape_gme_117_fence_after,Reshape,,,,,,,,
155,Node,11178,11178,0,587147,X,Conv_nchwc_gme_112_fence_before,Conv,,,,,,,,
156,Node,11178,11178,7060,587147,X,Conv_nchwc_gme_112,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 6925, 'Wait': 38, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 37, 'core': 40}, '139996788307712': {'num_run': 37, 'core': 32}, '139996645697280': {'num_run': 37, 'core': 21}, '139996779915008': {'num_run': 37, 'core': 45}, '139996771522304': {'num_run': 37, 'core': 15}, '139996763129600': {'num_run': 37, 'core': 11}, '139996754736896': {'num_run': 37, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'float': [256, 128, 1, 1]}]",131072,15155200,162,30310400,CPUExecutionProvider,"[{'float': [1, 256, 200, 148]}]"
157,Node,11178,11178,1,594242,X,Conv_nchwc_gme_112_fence_after,Conv,,,,,,,,
158,Node,11178,11178,1,594256,X,Reshape_gme_115_fence_before,Reshape,,,,,,,,
159,Node,11178,11178,33,594259,X,Reshape_gme_115,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 37, 'core': 40}, '139996788307712': {'num_run': 37, 'core': 32}, '139996645697280': {'num_run': 37, 'core': 21}, '139996779915008': {'num_run': 37, 'core': 45}, '139996771522304': {'num_run': 37, 'core': 15}, '139996763129600': {'num_run': 37, 'core': 11}, '139996754736896': {'num_run': 37, 'core': 35}}}","[{'float': [1, 256, 200, 148]}, {'int64': [5]}]",40,30310400,163,30310400,CPUExecutionProvider,"[{'float': [1, 32, 200, 148, 8]}]"
160,Node,11178,11178,0,594296,X,Reshape_gme_115_fence_after,Reshape,,,,,,,,
161,Node,11178,11178,0,594298,X,Add_9_fence_before,Add,,,,,,,,
162,Node,11178,11178,3452,594299,X,Add_9,Add,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [236800], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 3312, 'Wait': 50, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 38, 'core': 40}, '139996788307712': {'num_run': 38, 'core': 32}, '139996645697280': {'num_run': 38, 'core': 21}, '139996779915008': {'num_run': 38, 'core': 45}, '139996771522304': {'num_run': 38, 'core': 15}, '139996763129600': {'num_run': 38, 'core': 11}, '139996754736896': {'num_run': 38, 'core': 35}}}","[{'float': [1, 32, 200, 148, 8]}, {'float': [1, 32, 200, 148, 8]}]",0,60620800,84,30310400,CPUExecutionProvider,"[{'float': [1, 32, 200, 148, 8]}]"
163,Node,11178,11178,0,597759,X,Add_9_fence_after,Add,,,,,,,,
164,Node,11178,11178,0,597769,X,Reshape_gme_119_fence_before,Reshape,,,,,,,,
